"BehaviorSpace results (NetLogo 6.2.0)"
"model.nlogo"
"colony 2"
"06/17/2021 15:38:43:956 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","23","0","35"
"[run number]","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","5","5","5","5","5"
"nr_ants","37",,,,,"37",,,,,"37",,,,,"37",,,,,"37",,,,
"nr_small","22",,,,,"22",,,,,"22",,,,,"22",,,,,"22",,,,
"nr_medium","10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,
"nr_large","13",,,,,"13",,,,,"13",,,,,"13",,,,,"13",,,,
"nr_prepupae","4",,,,,"4",,,,,"4",,,,,"4",,,,,"4",,,,
"nr_pupae","6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,
"vision","6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,
"initial_placing","center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,
"max_tiredness","100",,,,,"100",,,,,"100",,,,,"100",,,,,"100",,,,
"scent_range","12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,
"pheromone_diffusion","0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,
"cd_small","1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,
"cd_medium","3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,
"cd_large","5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,
"cd_prepupae","2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,
"cd_pupae","2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,
"speed","0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,
"pickup_range","0.3",,,,,"0.3",,,,,"0.3",,,,,"0.3",,,,,"0.3",,,,
"FOV","120",,,,,"120",,,,,"120",,,,,"120",,,,,"120",,,,
"[reporter]","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae"
"[final]","3.2209341633958535","8.868409988558863","9.579576134929706","5.090590966950811","7.333850162174105","2.4777226955174396","10.15690095156961","10.050864082447228","6.104809667820948","7.1835135308787095","2.467753988712403","9.676010011330755","8.534958589982155","5.423305388366648","6.4550194425330885","2.6262041316775733","8.751413205583669","8.929902074964838","5.974732646257063","6.517323762583623","3.1799332866172763","10.39406368467805","9.197211411652285","6.005613201049846","5.868334632945026"
"[min]","1.74133834462223","1.4792520948174395","1.4280510538222455","1.1487428096595653","1.2501353616128077","1.889104521817356","1.4288189665050992","1.4552527976582466","1.5532591952207266","1.3365700219123013","1.6303163417892295","1.3171122461508533","1.3915476455543674","1.2770343983240706","1.0340798569058094","1.5995773379713727","1.5976215924838366","1.2054787450677416","1.672257183179349","1.4832815395385293","1.660669973450695","1.397529907659826","1.5136645215991582","0.8096234083604524","1.3344485311213254"
"[max]","3.2714928461806183","8.868409988558863","9.872432481834242","5.634387863756649","7.371195257421264","2.83051830534253","10.178458339799498","10.050864082447228","6.1165054088352475","7.239716212269065","2.815402184934908","9.676010011330757","8.534958589982155","5.967275069794996","6.545625921710886","2.8959744574420867","8.789178525918262","9.101346828913528","6.0283801285217455","6.524302505158425","3.2614926199883767","10.394063684678052","9.348704506051778","6.160794043980852","6.391525014154813"
"[mean]","2.9506434378122393","6.469467175099477","5.995235730955344","4.0743599226911895","5.338053956025085","2.594908784718014","7.353246797121973","6.351624250989787","5.021045271109511","5.1710191583080904","2.4933845940166206","6.475401317138744","5.712751900897041","4.851502928533313","4.97338038956561","2.6003393837560034","6.49802266828027","5.806657513328937","4.63228892817636","4.213313346736272","3.0144785958841895","7.437514361100612","6.003004526143994","4.377087768788989","4.621469484357371"
"[steps]","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880","2880"

"[all run data]","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae","av-dist-cent-small","av-dist-cent-medium","av-dist-cent-large","av-dist-cent-prepupae","av-dist-cent-pupae"
,"1.799558039307449","2.132878436708091","1.6562843587083813","2.1590592591062614","1.7872324811666047","2.06321488911832","2.032912335859538","2.1009456624934852","2.1022138515606636","1.595733395408671","1.9222337060022787","2.0973405380513084","1.6482469581714736","1.8419619601004196","1.559004835826807","1.8184957345367097","1.912588276146355","1.7957321006686422","2.1619932396197203","1.8041579153580127","1.8288817413378007","1.7989592051938004","2.0702516363411236","1.9839032024580305","1.8372128621473243"
,"1.7995580393074488","2.132878436708091","1.6562843587083813","2.1590592591062614","1.7872324811666047","2.0632148891183197","2.032912335859538","2.1009456624934852","2.1022138515606636","1.5957333954086705","1.922233706002279","2.097340538051309","1.6482469581714736","1.8419619601004196","1.5590048358268074","1.8184957345367097","1.9125882761463555","1.7957321006686422","2.1619932396197203","1.8041579153580127","1.8288817413378005","1.7989592051938004","2.070251636341123","1.9839032024580308","1.8372128621473243"
,"1.799558039307449","2.1328784367080904","1.656284358708382","2.1590592591062614","1.787232481166605","2.06321488911832","2.032912335859538","2.100945662493485","2.1022138515606636","1.595733395408671","1.9222337060022787","2.0887851912178235","1.6482469581714734","1.8419619601004196","1.559004835826807","1.8184957345367097","1.9125882761463555","1.7957321006686429","2.1619932396197203","1.8041579153580127","1.8288817413378","1.7989592051938004","2.0702516363411236","1.9839032024580308","1.8372128621473243"
,"1.7995580393074493","2.1328784367080904","1.6562843587083813","2.1590592591062614","1.7872324811666047","2.0632148891183197","2.032912335859538","2.1111903799869522","2.1022138515606636","1.5957333954086705","1.922233706002278","2.090559435496016","1.6482469581714732","1.8419619601004196","1.559004835826807","1.8184957345367097","1.912588276146355","1.7957321006686429","2.1619932396197203","1.8041579153580132","1.8288817413378005","1.7989592051938004","2.0702516363411236","1.9839032024580305","1.8372128621473243"
